emp_id,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num
356,Tina,Webb,1988-02-20,62 Mayer Plaza,,El Paso,31.6948,-106.3,TX,88535,1-(915)584-8677,1-(339)592-9887,,,Marketing Manager,2007-09-21,1-(402)348-8753,Tina.Webb@foo.com,4,3
859,Anthony,Lynch,1955-02-15,264 Towne Court,,Albany,42.6149,-73.9708,NY,12247,1-(518)145-9097,1-(360)644-1023,,,Research Nurse,2014-05-11,1-(520)152-8561,Anthony.Lynch@foo.com,2,5
317,Nicole,Lewis,1967-12-14,81829 Kropf Parkway,,San Francisco,37.7211,-122.4754,CA,94132,1-(415)200-5450,1-(337)726-5912,,,Civil Engineer,2008-09-13,1-(334)859-9747,Nicole.Lewis@foo.com,2,5
324,Paula,Fernandez,1965-08-07,36397 Thackeray Crossing,,Arlington,32.7714,-97.2915,TX,76004,1-(817)853-8611,1-(212)324-2409,,,VP Accounting,2010-04-08,1-(410)532-3474,Paula.Fernandez@foo.com,5,1
427,Sarah,Washington,1954-04-17,20 Ryan Parkway,,Lexington,38.0283,-84.4715,KY,40576,1-(859)147-4868,1-(815)768-3364,,,Librarian,2012-10-19,1-(210)795-3451,Sarah.Washington@foo.com,5,1
6,Alan,Evans,1959-12-22,5 Susan Street,,El Paso,31.6948,-106.3,TX,88519,1-(915)956-6086,1-(630)395-8946,,,Senior Quality Engineer,2013-12-09,1-(971)397-5395,Alan.Evans@foo.com,1,5
7,Kevin,Olson,1971-07-07,37289 La Follette Hill,Apt. C,Frankfort,38.2341,-84.8748,KY,40618,1-(502)671-8030,1-(585)263-2020,,,Senior Developer,2006-06-02,1-(305)231-1701,Kevin.Olson@foo.com,2,2
8,Carol,Gonzalez,1989-10-19,10 Russell Avenue,,Philadelphia,39.9597,-75.2024,PA,19104,1-(610)184-4192,1-(304)897-3707,,,Programmer II,2010-12-29,1-(239)516-4139,Carol.Gonzalez@foo.com,4,1
9,Larry,Fields,1952-06-10,596 Bashford Drive,#2,Salt Lake City,40.6681,-111.9083,UT,84135,1-(801)445-8873,1-(304)804-2415,,lfields8@cisco.com,Nuclear Power Engineer,2014-02-10,1-(518)107-9443,Larry.Fields@foo.com,1,1
10,Peter,Graham,1974-12-07,763 Lillian Way,,Oakland,37.8471,-122.2223,CA,94611,1-(510)616-2712,1-(602)687-0138,,,Office Assistant II,2013-08-26,1-(818)583-2041,Peter.Graham@foo.com,3,2
11,Martha,Kelley,1972-01-03,956 Butterfield Trail,,El Paso,31.6948,-106.3,TX,88541,1-(915)890-4307,1-(901)520-5483,,,Sales Representative,2009-01-29,1-(414)632-9721,Martha.Kelley@foo.com,5,5
12,Ann,Ray,1959-06-03,58 Oneill Plaza,,Mobile,30.6589,-88.178,AL,36628,1-(251)495-1205,1-(415)446-1543,,,Assistant Professor,2006-01-22,1-(774)516-8374,Ann.Ray@foo.com,1,3
13,Terry,Brown,1993-02-18,800 Lakewood Gardens Hill,#2,Springfield,39.7655,-89.7293,IL,62711,1-(217)753-0542,1-(415)612-8341,,,Web Developer I,2009-07-26,1-(859)150-8624,Terry.Brown@foo.com,2,4
14,Bruce,Shaw,1990-04-15,8799 Darwin Park,,Philadelphia,40.0018,-75.1179,PA,19184,1-(215)432-3771,1-(407)371-1583,,,Project Manager,2015-07-29,1-(413)366-9034,Bruce.Shaw@foo.com,2,4
